	Stool.40	Stool.34	Stool.143	Stool.110	Stool.2	Stool.14	Stool.29	Stool.17	Stool.129	Stool.106	Stool.131	Stool.24	Stool.39	Stool.201	Stool.116	Stool.1	Stool.128	Stool.170	Stool.52	Stool.113	Stool.107	Stool.90	Stool.61	Stool.30	Stool.46	Stool.25	Stool.22	Stool.203	Stool.55	Stool.111	Stool.109	Stool.66	Stool.4	Stool.45	Stool.137	Stool.6	Stool.92	Stool.153	Stool.8	Stool.206	Stool.28	Stool.81	Stool.3	Stool.31	Stool.120	Stool.94	Stool.145	Stool.176	Stool.173	Stool.158	Tongue_dorsum.113	Tongue_dorsum.87	Tongue_dorsum.120	Tongue_dorsum.43	Tongue_dorsum.56	Tongue_dorsum.37	Tongue_dorsum.45	Tongue_dorsum.102	Tongue_dorsum.26	Tongue_dorsum.51	Tongue_dorsum.35	Tongue_dorsum.71	Tongue_dorsum.112	Tongue_dorsum.50	Tongue_dorsum.78	Tongue_dorsum.90	Tongue_dorsum.53	Tongue_dorsum.80	Tongue_dorsum.29	Tongue_dorsum.149	Tongue_dorsum.17	Tongue_dorsum.213	Tongue_dorsum.58	Tongue_dorsum.25	Tongue_dorsum.65	Tongue_dorsum.21	Tongue_dorsum.169	Tongue_dorsum.34	Tongue_dorsum.198	Tongue_dorsum.67	Tongue_dorsum.54	Tongue_dorsum.12	Tongue_dorsum.212	Tongue_dorsum.128	Tongue_dorsum.158	Tongue_dorsum.30	Tongue_dorsum.10	Tongue_dorsum.9	Tongue_dorsum.31	Tongue_dorsum.18	Tongue_dorsum.147	Tongue_dorsum.123	Tongue_dorsum.38	Tongue_dorsum.61	Tongue_dorsum.32	Tongue_dorsum.3	Tongue_dorsum.238	Tongue_dorsum.77	Tongue_dorsum.166	Tongue_dorsum.174	Supragingival_plaque.17	Supragingival_plaque.2	Supragingival_plaque.79	Supragingival_plaque.33	Supragingival_plaque.81	Supragingival_plaque.35	Supragingival_plaque.51	Supragingival_plaque.77	Supragingival_plaque.80	Supragingival_plaque.38	Supragingival_plaque.83	Supragingival_plaque.87	Supragingival_plaque.217	Supragingival_plaque.104	Supragingival_plaque.221	Supragingival_plaque.86	Supragingival_plaque.8	Supragingival_plaque.115	Supragingival_plaque.91	Supragingival_plaque.161	Supragingival_plaque.170	Supragingival_plaque.61	Supragingival_plaque.23	Supragingival_plaque.116	Supragingival_plaque.9	Supragingival_plaque.71	Supragingival_plaque.12	Supragingival_plaque.16	Supragingival_plaque.101	Supragingival_plaque.92	Supragingival_plaque.50	Supragingival_plaque.52	Supragingival_plaque.18	Supragingival_plaque.14	Supragingival_plaque.130	Supragingival_plaque.53	Supragingival_plaque.68	Supragingival_plaque.145	Supragingival_plaque.57	Supragingival_plaque.141	Supragingival_plaque.5	Supragingival_plaque.162	Supragingival_plaque.119	Supragingival_plaque.118	Supragingival_plaque.32	Supragingival_plaque.159	Supragingival_plaque.3	Supragingival_plaque.20	Supragingival_plaque.84	Supragingival_plaque.49
Choline_Transport	6088	6908	6361	6278	6095	6920	5358	5757	5829	5822	8182	6629	5769	6291	7154	5580	7186	4967	5748	6973	5147	5485	5308	6647	5211	6637	4956	6013	7265	5591	3864	7369	6335	3673	0	6433	3652	0	6868	4847	5790	5641	4801	5829	6582	4913	5286	5660	5011	7437	15751	17682	8632	9799	8180	10605	10632	11597	8960	8111	6031	7675	11838	9809	7656	10409	12119	10557	11599	8973	10323	11827	7016	11373	9669	10255	9015	9251	7737	7036	11235	10709	7259	10709	9221	6970	1861	1895	4630	6703	8182	9906	8772	8188	7479	3284	10258	7169	2475	2418	7360	588	9505	4818	8394	6392	6705	4218	4214	5879	6215	2547	2783	2429	2637	6061	5780	3980	3549	2609	2583	745	4150	3613	2771	721	3863	2234	5183	5079	2393	2269	861	988	2754	2550	3086	2676	2493	600	686	2851	3789	3775	3178	2968	467	3194	3030	3341
"Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more."	56697	51425	52411	60145	59482	58072	56346	52197	54440	50779	59904	56102	40561	48076	52316	56593	52359	52870	55242	49181	51594	44245	38099	47941	51101	49077	41864	46507	43884	48070	41164	49667	51076	46843	47530	49898	43525	47339	50559	36690	48936	45311	44905	48191	46802	48147	41269	40895	43853	52702	154550	155485	98411	89005	84217	97559	95880	111141	96387	71841	88539	91698	108563	75273	92519	99337	100622	102214	91137	99254	96736	115241	100213	86696	88637	94895	97013	86967	106204	99729	92041	76317	102561	89682	95661	82575	82431	88232	76248	88580	93619	83055	79139	80389	88180	74580	96487	59952	88768	88881	66164	38966	103735	36347	93532	76031	80611	71847	71911	54971	75946	51140	77641	42881	76489	71843	40618	61425	37499	72099	68964	42018	21369	61695	22613	40736	20865	38973	57086	56453	37613	37590	37763	21649	43515	49535	23326	42784	42736	20706	17825	58014	51259	36395	21581	52480	24938	44400	21802	27574
Chorismate_Synthesis	44627	46812	39537	47998	48626	47986	42385	45871	49125	45411	43363	46083	36277	48963	47410	48225	47244	46011	34602	42964	50114	48878	30525	42826	43112	42734	40723	40398	43909	42569	39314	38419	40774	43551	42609	45004	39554	42644	42957	39232	46175	34454	40802	45718	40279	41809	31997	31193	45651	39665	169335	181698	103803	98335	110714	95326	95335	117426	95006	98965	89016	98149	116018	108457	98987	118841	111450	111261	95197	98323	108095	104733	100769	88882	91717	97683	90139	94438	95277	110645	102184	107201	93374	95466	106510	87761	98748	99696	75217	84392	97029	92192	88474	82274	86961	91125	94475	85638	75012	74553	90829	83100	96921	52133	87903	84327	82284	67906	67846	58882	66569	51704	77632	49176	75963	65908	43366	55231	49087	64879	64153	28823	38074	52376	34394	28730	35229	54539	45202	44403	44659	41950	54005	33537	29604	53557	28305	29801	52305	32331	16944	46721	46426	46942	37276	46854	21519	38922	33413	23383
Cinnamic_Acid_Degradation	5805	0	3212	1484	2836	148	6545	2306	3	7408	0	108	6157	1	5756	2972	5872	61	1339	1745	694	0	6014	0	1281	2	3036	6	7686	7082	1968	8111	4193	3258	0	4044	1986	0	818	9668	3293	2193	6009	3275	1797	1962	2864	5021	1032	0	25807	26238	18774	15698	13180	16510	15907	14442	16393	12337	17293	13815	13800	12750	13835	16683	14935	16763	14174	19621	13404	16969	17635	13414	15845	13143	18882	16706	22084	17232	14122	10667	21275	16669	16898	14944	11727	12443	15122	14138	17160	15762	15166	14220	13271	12676	17269	22432	16580	16411	18717	12170	9540	12724	8861	11602	11516	13859	14019	8911	9033	12924	10839	13104	10627	8705	5721	10607	9096	11159	10937	12221	9923	10220	9816	12185	9487	6942	12262	12085	8811	8760	6674	9651	12017	12052	9366	12113	11698	10376	7733	9728	8625	8971	5851	9463	7340	8912	8996	10004
"Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C_jejuni_colonization_of_chick_caeca	31272	25973	32827	25483	26217	24860	24667	22623	23762	26726	22136	23931	26409	25464	22604	25042	22430	18865	25130	27030	21823	15701	22821	19897	27038	19887	24125	24557	23551	25176	23785	23864	22382	27141	23917	22256	23831	24079	22703	22715	22631	23702	23373	21995	25801	24134	17556	13658	25961	19976	32136	36884	22229	22298	22282	23762	23729	21418	22434	22486	21802	19756	20820	19724	19943	24253	24462	24213	22886	20926	25291	19493	23204	21858	23301	24152	20471	25316	18972	23293	21933	22866	18224	22254	24715	23186	23184	23762	19506	22150	19226	21491	23431	20804	27238	24375	16246	23164	19417	19216	33912	10956	17994	5966	16634	16955	16992	16339	16111	5803	3278	6755	5913	4990	3496	3497	3490	16398	3912	12917	13005	2309	2920	13369	4857	2258	2710	15713	14659	14824	18018	15929	4538	4235	0	13580	3458	0	12851	2844	848	11330	12715	12979	4224	11160	0	12657	3274	0
Clavulanic_acid_biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClpAS_cluster	18129	17978	18643	22005	16739	20898	15939	15220	14947	17307	20348	19851	16051	17893	16404	15988	16159	19855	14740	23317	14309	17545	15265	16860	11354	16808	15126	17351	20611	17013	21111	20169	13015	14676	14911	13184	21050	14770	19670	15551	17283	15331	15870	17382	20749	14982	15610	14633	16441	18467	26102	23820	16407	13876	13361	14323	14230	16255	15517	13095	15695	13012	15989	10276	13234	15985	15370	15754	14729	15455	13462	16229	16413	13815	12616	12333	14977	14501	19860	16145	13895	11184	19414	16578	17872	12576	14555	15650	14225	11711	15247	15380	13357	11253	13542	12219	13919	17725	14227	14308	25283	0	13031	18101	11752	9751	9522	12634	12668	13118	11069	16017	12135	15930	11899	10379	12110	11636	12374	13122	12806	15356	13837	11127	13444	15123	13116	9546	8025	8121	12558	12422	9303	13133	13515	10123	11874	13537	9913	12548	10457	12293	10137	10228	10129	12242	17281	8343	11262	14532
ClpS__and_metallo-protease_cluster_in_Cyanos_	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	0	0	0	0	0	744	0	888	0	0	0	0	0	0	0	997	0	638	0	0	867	0	0	0	0	0	0	0	0	0	0	0	0	885	1121	939	0	0	0	0	0	0	583	0	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	500	0	0	0	0	0	0	0	0	0	0	0
ClpS_cluster_with_hypothetical_protein_in_Cyanos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClpS_like_protein_and_vWFA-like_protein_cluster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related	7290	4513	4920	3907	4116	4405	3478	4126	3417	4206	4518	4186	4838	4129	3311	3909	3142	5178	5000	4120	3301	4302	4718	5200	4725	3846	5548	4002	3541	4155	3451	3718	2934	4082	5862	2902	3465	5828	4122	3668	4481	3876	3210	4458	3868	3430	4000	3146	3831	4053	0	0	8294	7784	7751	6972	7182	8688	8284	7622	6271	6898	8946	7550	7142	7365	8007	7218	9426	6313	7672	7917	6692	9110	6699	7871	5949	7731	6362	6499	7287	8068	5974	0	8340	0	6495	6974	5379	0	6570	0	0	6068	0	0	6800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4433	4395	0	0	0	0	0	0	0	0	4209	0	0	0	0	0	0	0	0	0	0	0
Cluster_co-expressed_with_butyrate_metabolism_cluster	14707	14865	16144	16421	14944	13348	14668	15481	13381	13729	14380	13021	13348	12441	13063	14436	13082	12707	12243	12457	12686	12220	12675	13265	12379	13016	12958	11783	13167	13203	14085	13026	12791	13361	11035	12734	13907	11247	11906	13739	13175	12528	13612	13111	11490	12280	13101	12436	12436	12959	33042	35130	25622	22929	23908	22542	22268	22782	22236	23415	23337	22477	22727	22159	21950	22610	23562	22818	7923	22702	20208	22279	20477	7670	22432	20124	22626	22176	21314	20218	21126	23853	20750	8240	20907	20562	19153	7765	19447	19445	18221	7488	20583	19928	19567	7150	19060	8882	18408	18248	11418	25367	17936	0	16436	16650	16514	15165	14781	16213	13599	13674	13854	13668	13119	12649	9325	13574	11873	11775	11566	6606	8002	12728	14100	6557	7506	12413	10526	10466	13129	12926	11888	7991	12118	5252	0	12158	5310	12195	0	9637	10815	10835	5084	9534	0	10711	0	0
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44044	45991	25191	21001	22968	22428	22392	26649	22308	22979	22313	21224	25848	19515	21232	26982	26448	26881	21406	27598	19087	29856	25528	20525	25398	18769	26801	18679	27756	25946	24293	22533	26353	26842	20527	17844	18410	18865	17626	22927	22911	24534	17363	22555	24129	20245	26908	18458	24960	24980	0	22196	22264	0	19951	19519	19524	17134	13242	0	17837	17958	24704	18033	24238	16926	0	17344	15973	15240	15599	0	0	16698	0	0	0	12608	8406	8195	10368	10470	12600	0	0	11875	0	0	11297	10722	0	13154	13921	14124	0	13017	0	9626	0	0
Cluster_with_phosphopentomutase_paralog	0	2	0	15	0	6	814	0	0	6	8	1	2	5	0	0	1	84	0	0	0	0	0	0	14	0	0	0	5371	2	5	1597	3	1	18	0	10	4	0	0	0	21	5	3	0	0	1	1858	0	6	16739	18869	6772	6042	6692	6360	6439	9193	7461	6374	6253	5709	8819	6289	5627	9967	8367	10015	5660	9076	5954	9865	10381	5448	6983	5885	8705	7707	9351	10199	8004	6835	9196	8162	10539	7633	6437	6302	4709	7293	8871	7438	7404	6622	8347	7213	9725	9537	7291	7375	4620	10702	5123	6845	4745	6645	6770	3095	3156	4752	4582	6117	6817	6054	6766	4355	4160	4304	4918	6758	6512	4397	3178	4123	4964	4407	2910	5075	1691	1787	2964	2991	5020	4767	3863	4605	5544	4003	4519	5024	3569	2578	3457	3332	4168	2642	2977	4933	5374	4206
Cluster_with_second_YidC_in_Bacilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6351	5518	2697	2005	2937	2140	2230	9238	2805	2668	2340	2358	8887	2173	2411	3480	2771	3563	1697	3861	1973	4619	3014	1589	2174	2053	3725	2184	5236	3052	2443	1186	4897	3309	3830	1876	1137	1083	1896	1704	3582	3133	2156	1895	2298	1307	4588	4297	3222	3055	1744	1332	5902	1496	5433	5869	5899	3780	3775	5518	4417	4722	7741	1669	7333	4437	881	5940	4512	6717	6857	1031	896	5427	1155	1047	851	4367	2804	2753	1273	1310	4292	1181	1793	1799	1175	1837	1716	5365	825	3246	3771	3735	945	3370	480	1442	1085	1352
Cluster_Ytf_and_putative_sugar_transporter	5150	6514	4570	6313	4673	5318	6361	5230	5779	5611	4607	5305	4063	4642	4110	4643	3966	5112	5404	4363	5815	4632	4026	4123	5871	3966	4664	4533	7018	5509	4149	6848	4378	5127	5766	4299	4264	5696	4088	4085	4004	4576	4067	3970	4148	4301	4128	4706	3380	4252	47432	47618	39945	35949	32198	36010	35756	33142	32237	32176	32220	35959	32920	33584	35430	29609	35557	30094	34370	32978	34846	33188	26321	33081	31169	34606	32153	34266	31905	26451	32740	34663	30971	33401	28899	30238	25355	25746	26827	29088	26422	31061	31547	27758	27165	26406	28508	32043	25640	25095	55533	39822	30367	38379	27006	25394	24803	27541	27456	28241	20548	25477	18572	25212	17792	20259	31114	21894	23569	18049	17841	26592	31595	20929	27476	25722	29611	20979	19811	19232	23893	22797	20619	27052	19558	21123	23932	19548	21104	21389	23707	16596	17871	17991	21718	16802	29088	18620	23023	29540
CMP-N-acetylneuraminate_Biosynthesis	14595	17634	15848	17830	13949	15158	12522	19539	13949	16783	12842	14731	13614	11603	13145	13093	13211	13199	14955	17304	12815	16943	12678	21660	20355	21424	14610	11385	18257	16045	10526	18204	10957	15346	19018	10640	10329	19236	11331	16557	14816	15152	10535	14648	16570	16436	12947	14325	19362	12282	15376	19089	0	0	0	0	8245	9608	372	0	9471	6793	9436	5889	6934	10598	8700	10686	0	9200	6978	10230	10979	0	7804	6956	9216	10372	9892	10676	7696	0	9767	8997	11865	9515	7773	0	7062	9074	7828	8616	9734	7325	9446	8476	7728	452	8940	8877	0	0	1646	0	1625	0	0	0	0	205	1490	0	1662	0	0	1397	111	0	0	7606	7606	0	182	0	0	0	147	4949	914	877	0	0	4911	0	23	0	0	28	98	0	0	1154	0	0	72	1119	0	0	191	0
"CO2_uptake,_carboxysome"	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	19	112	230	468	188	468	439	5	185	111	147	135	9	490	129	42	13	26	409	36	5	3	12	394	47	9	32	93	12	38	16	631	36	106	16	51	492	489	114	32	3	96	93	22	270	354	4	243	6	6	489	495	14	277	24	73	64	38	39	149	25	96	14	70	18	18	55	49	47	22	55	19	247	63	227	44	125	295	63	52	496	428	278	203	39	87	114	116	63	87	200	5	18	16	112	0	381	292	123	112
CoA-disulfide_reductase_(EC_1.8.1.14)_containing_cluster	10874	12488	9941	12129	8806	10466	8876	13342	12697	11081	9928	10105	9390	11153	8797	8121	8705	9837	10351	9126	11844	9273	8871	11027	13276	11099	10930	10871	8217	10284	10311	8445	8831	10988	11567	8749	9939	11467	8482	7606	9480	8865	6946	9346	8439	9876	8369	7399	9501	9108	6511	0	0	0	0	0	0	3690	0	0	1986	727	3431	0	0	3653	0	863	0	0	0	0	0	0	0	0	0	0	4730	0	0	0	4403	0	0	0	596	0	1577	0	3235	0	0	0	0	0	0	0	0	0	2292	8631	3321	1804	2978	1231	1168	327	327	3150	320	0	5378	1111	5373	268	718	4727	325	3237	3486	233	1864	4545	1453	0	1790	1456	1087	947	3212	2930	1414	1399	1035	0	1690	966	0	514	2266	2119	436	463	2056	1951	1501	3245	1675	1180
CoA_disulfide_thiol-disulfide_redox_system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	1111	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0
Coagulation_cascade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cobalamin_synthesis	50396	31998	42837	31115	54752	51338	32714	14140	27973	32953	48134	47817	36617	27555	35840	50090	35030	40542	25291	36416	26112	26549	30626	39241	38874	38724	25299	26640	37714	27272	26325	37943	22074	26614	21816	21826	25858	21849	46335	32336	36511	29675	43067	32856	34548	29295	32515	30626	34573	43295	85466	96682	23557	48898	74967	32522	40025	47078	36254	75709	56465	24107	44012	53976	36912	47723	35683	59765	22670	30727	35061	23117	53135	28483	51082	34470	27043	46535	12481	35774	35955	54655	12304	9306	24154	54462	51738	47420	45497	55458	14932	8480	35396	40730	52558	51560	20233	12396	42178	41551	3562	95548	24768	6559	22842	40719	40042	2225	2047	14738	26060	4669	19285	4634	19028	27188	4917	9365	9384	21148	22600	2860	16903	12160	4485	2803	15284	39443	6300	7929	14886	17236	38846	4612	3619	7729	4586	3636	7437	7463	3673	3743	9033	10351	3272	3629	1937	26316	4507	3081
Cobalt-zinc-cadmium_resistance	68026	77283	60284	67888	71356	76728	67756	91906	76343	65633	57262	71655	57486	59624	62625	67625	62000	58058	64707	47365	71181	74073	56530	70669	94090	67493	58879	57879	56743	62757	58483	56799	71019	66946	75004	70326	57786	75466	68942	48438	70070	50270	43064	69296	44968	60351	50077	58711	58812	51816	18109	17945	12559	11595	11593	11896	11882	10727	9921	11724	12240	9813	10138	11748	9580	10092	8902	10529	7299	12548	8133	8712	9134	7458	10919	7972	12475	9288	19014	8953	8570	10360	31259	10781	93	8717	8015	8156	9831	8233	14479	9785	9073	9847	10096	9492	8444	11735	29441	29599	8975	13523	4782	9591	4652	6548	6484	5155	5173	8388	4767	6172	7144	6356	7068	4742	0	6663	5590	28211	28115	4643	5347	6622	6228	4846	5154	6869	3877	3929	6163	5845	6569	6464	5016	8301	6519	4716	8077	6279	5858	3812	4233	4235	6927	3833	4706	6714	6175	5424
CO_Dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme_A_Biosynthesis	44436	43588	36261	51073	42862	42007	38480	38969	44167	41070	40419	40706	35807	38093	37412	41573	40859	41721	43682	35685	44878	39422	34043	38601	38333	37666	35886	36106	35764	38525	37509	35807	40447	37040	38464	40116	37528	37980	37907	26258	42009	35217	33231	41443	34223	36182	38137	30327	30953	36902	53129	58421	43219	42338	39320	40437	40189	39645	37541	39896	32759	39955	40088	44584	40372	37263	41733	38024	38010	36416	37827	42950	35080	37917	35308	37513	33797	35441	34523	35040	38295	34579	33343	38007	38068	36274	31163	32317	33531	34026	33360	35581	33722	31771	33343	31370	35604	28907	31934	31486	48592	30558	35382	32649	31373	28924	28800	30651	30472	24625	27342	24159	28409	24264	27736	25806	23391	25210	23546	17864	18115	17833	20339	24015	23439	17873	24126	18021	20079	20061	21800	21391	18339	23308	15100	16784	15890	17201	16179	21215	25444	18855	20165	20612	26274	17645	15360	16843	14801	17385
Coenzyme_B12_biosynthesis	86739	66147	77790	63306	88190	86543	57509	30429	57457	57626	78080	81651	66038	54301	56842	81669	55739	71976	54767	63242	54694	54624	58753	72065	69057	71171	46744	51461	66913	50575	50696	66787	43010	50771	39430	42472	50276	39440	79204	56458	65569	55816	67515	61785	60084	58595	61402	59814	64912	70502	93870	115193	24393	55514	89119	33389	40922	63068	45303	85515	61734	24916	57356	61882	37845	61727	40334	69336	29657	31255	38599	32804	56717	35203	62379	37976	27632	59239	16318	40923	40255	63785	15922	16708	31789	61698	67718	63249	51596	62806	18685	15348	47099	50571	67975	64975	26813	16813	47722	47109	4690	112273	35378	7814	34398	54963	54268	8315	8189	16454	35231	15790	31459	15664	31191	37594	14179	10267	15544	32027	30303	2958	17892	12976	5406	3213	16298	44839	7001	8601	15671	18033	44428	5508	4538	10199	5429	4532	9701	8356	4291	6795	13446	16087	4007	6658	2620	28693	5375	4119
Coenzyme_B_synthesis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme_F420_hydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	37	101	37	19	0	43	56	43	100	0	46	37	53	11	47	122	108	120	46	69	256	73	92	51	82	256	44	75	90	0	110	78	90	53	189	82	59	100	30	91	132	52	71	75	262	179	11	139	81	87	66	335	24	185	27	31	34	0	0	119	10	126	17	121	0	0	28	91	83	83	76	135	77	82	107	133	49	122	0	0	141	123	174	91	0	34	85	0	55	75	183	1	32	26	108	0	180	121	82	138
Coenzyme_F420_synthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	4	2	0	0	12	334	0	325	0	0	0	2	0	0	11	0	0	0	17	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	54	2	5	0	62	0	0	0	0
